Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dante Exum,,1.2,1,0.7,-0.1,NA,NA
Chris Smith,83.2,1.2,1.1,0.9,NA,NA,NA
Tommy Kron,80.7,1.3,0.8,0.8,-0.3,NA,NA
Richie Frahm,79.3,1.5,1,0.5,-0.2,NA,NA
Steve Harris,77.8,1.3,1.2,0.8,0,-0.1,NA
Steve Alford,77.2,1.4,0.9,0.6,0.3,NA,NA
Norris Cole,75.2,1.4,1.2,0.6,0,-0.1,-0.1
Salim Stoudamire,74.6,1.2,0.8,0.3,NA,NA,NA
Cameron Payne,70.1,1.4,0.8,0.5,-0.3,NA,NA
MarShon Brooks,68.7,1.3,0.8,0.7,0.4,0.1,NA
Byron Irvin,68.5,1.2,0.9,0,NA,NA,NA
