Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Al Thornton,,2.2,1.6,1.3,1.1,NA,NA,NA,NA,NA
Bob Brannum,89.4,2,1.6,1.1,0.8,0,NA,NA,NA,NA
Jeff Ayres,83.4,2.4,1.3,1.2,1,0.3,0.2,NA,NA,NA
James Hardy,83.3,2.5,1.8,1.3,0.7,NA,NA,NA,NA,NA
Jerry Chambers,82.9,1.5,1.4,1.3,1.1,0,0,NA,NA,NA
Brady Walker,81.8,2.8,1.9,1.2,1,NA,NA,NA,NA,NA
Rory White,81.8,2.6,1.5,1,1,0.4,NA,NA,NA,NA
Simmie Hill,81.3,3.1,1.6,1.2,1,NA,NA,NA,NA,NA
Michael Ruffin,80.6,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
Chuck Terry,80.5,2.3,2.1,1.2,0.7,0.1,NA,NA,NA,NA
Kevin Séraphin,78.9,2.3,1.7,1,0.8,0.2,0.1,-0.2,NA,NA
