,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,24,CHH,NBA,PF,8,62,.350,6.8,.950,.450,.250,.100,.150,.050,.368,.444,.400,.000,.333,.000,.714,.250,3,,.000,,0,0
2002-03,25,NOH,NBA,C,6,94,.455,6.1,1.000,.591,.091,.136,.182,.000,.455,.385,.500,.667,.500,,.500,.045,1,,,,0,0
2003-04,26,NOH,NBA,C,4,40,.444,8.0,1.000,.333,.333,.111,.222,.000,.444,.667,.333,.000,.500,,1.000,.000,0,,,,0,0
Career,,,NBA,,18,196,.412,6.7,.980,.490,.196,.118,.176,.020,.420,.440,.400,.333,.444,.000,.667,.118,4,,.000,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NOH,NBA,,10,134,.452,6.7,1.000,.516,.161,.129,.194,.000,.452,.438,.400,.500,.500,,.643,.032,1,,,,0,0
1 season,,CHH,NBA,,8,62,.350,6.8,.950,.450,.250,.100,.150,.050,.368,.444,.400,.000,.333,.000,.714,.250,3,,.000,,0,0
