Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Robert Traylor,,2.5,2.5,2.4,1.9,1.8,1.2,1
Corky Calhoun,89.0,3.1,2.5,2.3,2.2,2.1,1.3,1
Earl Cureton,86.7,2.7,2.6,2.1,2,1.2,1,0.8
Mark Bryant,85.8,3.2,2.3,2.1,2.1,1.6,1.1,1
Tom Hawkins,84.4,3.2,2.9,2.5,2.3,2.1,1.2,1
Don Reid,82.4,2.9,2.8,2.7,2.3,1.1,1,0.9
Kevin Restani,80.4,3.5,2.6,2.2,2.1,2,1.8,0.5
Sidney Green,79.2,3.4,2.7,2.5,2,1.7,0.6,0.3
Eric Williams,79.2,2.9,2.5,2.2,2.2,1.6,0.2,0.1
Joe Bryant,79.1,3.4,2.2,1.8,1.5,1.5,1.3,1.2
Darius Songaila,78.9,4.3,2.6,2.5,2.4,1.7,1.3,1.1
