Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Les Hunter,,8.4,5.6,4.9,2.7,2.2,2.1,-0.5,NA,NA
Warren Davis,84.7,8.1,5.8,5.7,3.4,3.4,3.2,NA,NA,NA
Reggie King,84.5,8.3,6.2,4.8,3.4,1.6,0.5,NA,NA,NA
Tiago Splitter,84.4,8.2,4.6,4.3,4,2.3,1.7,0.1,NA,NA
Joe Ingles,83.6,7.6,6,5,2.3,2.2,NA,NA,NA,NA
Bill Robinzine,83.3,6.9,5.5,3.4,3,2.4,2.3,-0.2,NA,NA
Jim Brewer,81.5,7.9,5.8,4.4,2.6,2.2,2,1.8,1.3,1.3
Greg Smith,81.0,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0,NA
Sonny Parker,80.4,7,6.8,6.2,3,2.3,1.6,NA,NA,NA
Bison Dele,79.9,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA
Curtis Perry,78.4,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA
