Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Les Hunter,,8.4,5.6,4.9,2.7,2.2,2.1,-0.5
Matt Harpring,89.5,8.8,6.1,5.5,2.8,2.6,2.6,0.2
Don Nelson,87.3,7.5,6.1,5.4,3.3,2.3,2.1,0.4
Jeff Foster,85.9,8.3,5.7,5.4,4.2,2.7,1.6,0.6
Jim Brewer,85.8,7.9,5.8,4.4,2.6,2,1.3,1.3
Warren Davis,84.7,8.1,5.8,5.7,3.4,3.4,3.2,NA
Reggie King,84.5,8.3,6.2,4.8,3.4,1.6,0.5,NA
Tiago Splitter,84.4,8.2,4.6,4.3,4,2.3,1.7,0.1
Dennis Scott,84.2,8.8,5,4.6,3.8,2.8,2.6,0.7
Kurt Thomas,84.1,8.2,6.5,5.2,3.8,2.5,0.5,-0.2
Joe Caldwell,83.7,7.9,6.7,3.7,3.3,2.3,2,0.3
