Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,25,MNM,ABA,PF,10,388,17.3,0.463,0.021,0.521,NA,NA,12.3,9.5,NA,NA,10.5,23.4,NA,0.1,0.9,1,0.118
1968-69,26,MMF,ABA,PF,10,209,16.1,0.435,0.026,0.362,NA,NA,18.7,9.3,NA,NA,11.8,27,NA,-0.2,0.2,0,0.004
1969-70,27,NYA,ABA,PF,7,233,18.2,0.501,0.1,0.29,NA,NA,9.1,7.1,NA,NA,NA,NA,NA,0.1,0.1,0.3,0.053
1970-71,28,KEN,ABA,PF,19,352,4.7,0.44,0.03,0.435,NA,NA,NA,12.4,NA,NA,16,NA,NA,-0.3,0.5,0.2,0.025
1971-72,29,KEN,ABA,PF,6,123,15.2,0.6,0.146,0.268,NA,NA,9.3,10.2,NA,NA,17.9,19.2,NA,0.3,0,0.4,0.146
Career,NA,,ABA,,52,1305,13.7,0.466,0.046,0.413,NA,NA,12.5,9.9,NA,NA,13.2,23.7,NA,0.1,1.7,1.8,0.066
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,KEN,ABA,,25,475,7.4,0.47,0.053,0.402,NA,NA,9.3,11.8,NA,NA,16.3,19.2,NA,0,0.5,0.6,0.056
2 seasons,NA,"MNM,MMF",ABA,,20,597,16.9,0.453,0.023,0.461,NA,NA,14.6,9.4,NA,NA,11,24.6,NA,-0.1,1.1,1,0.078
1 season,NA,NYA,ABA,,7,233,18.2,0.501,0.1,0.29,NA,NA,9.1,7.1,NA,NA,NA,NA,NA,0.1,0.1,0.3,0.053
