,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,25,MNM,ABA,,16,,0,,,,13,21,,,,,,,,,38
1968-69,26,MMF,ABA,,7,,2,,,,5,8,,,,,,,,,20
1969-70,27,NYA,ABA,,12,,1,,,,6,7,,,,,,,,,28
1970-71,28,TOT,ABA,,10,,1,,,,8,14,,,,,,,,,24
1970-71,28,KEN,ABA,,10,,1,,,,8,14,,,,,,,,,24
1971-72,29,KEN,ABA,,8,16,1,2,8,15,4,4,,,6,4,,,4,4,20
Career,,,,,16,,2,,,,13,21,,,,,,,,,38
2 Seasons,,KEN,ABA,,10,,1,,,,8,14,,,,,,,,,24
2 Seasons,,"MMF,MNM",ABA,,16,,2,,,,13,21,,,,,,,,,38
1 Season,,NYA,ABA,,12,,1,,,,6,7,,,,,,,,,28
