Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1964-65,22,BAL,NBA,PF,24,114,8.8,0.299,NA,0.219,NA,NA,NA,13.3,NA,NA,NA,NA,NA,-0.5,0,-0.5,-0.21
1967-68,25,MNM,ABA,PF,75,2552,18,0.466,0.014,0.388,NA,NA,12.5,6.9,NA,NA,12.6,22.4,NA,1.8,6.6,8.4,0.158
1968-69,26,MMF,ABA,PF,77,2537,16.1,0.507,0.005,0.418,NA,NA,13.7,7,NA,NA,14.8,21.2,NA,2.9,2.7,5.6,0.106
1969-70,27,NYA,ABA,PF,79,2859,13.1,0.493,0.037,0.385,NA,NA,11.3,10.7,NA,NA,18.5,21.2,NA,2,3,4.9,0.083
1970-71,28,TOT,ABA,PF,80,1525,13.2,0.501,0.076,0.346,NA,NA,14.1,8,NA,NA,17,20.9,NA,1,1.2,2.2,0.07
1970-71,28,NYA,ABA,PF,5,110,-0.9,0.376,0,0.205,NA,NA,9.3,2.4,NA,NA,28.6,20.6,NA,-0.2,0.1,-0.2,-0.074
1970-71,28,KEN,ABA,PF,75,1415,14.3,0.509,0.081,0.355,NA,NA,14.4,8.4,NA,NA,16.2,21,NA,1.2,1.2,2.4,0.081
1971-72,29,KEN,ABA,PF,70,967,13.6,0.529,0.042,0.376,6.5,14.5,10.7,12.8,NA,NA,17.2,21.5,NA,1.3,1.4,2.7,0.134
1972-73,30,MMT,ABA,PF,63,1333,13.4,0.54,0.07,0.285,6.7,15.5,11,10,NA,NA,15.1,18.2,NA,1.6,0.5,2.1,0.077
Career,NA,,TOT,,468,11887,14.8,0.495,0.032,0.375,6.6,15.1,12.4,8.9,NA,NA,15.7,21.1,NA,10,15.5,25.5,0.103
,NA,,ABA,,444,11773,14.9,0.498,0.033,0.377,6.6,15.1,12.4,8.8,NA,NA,15.7,21.1,NA,10.5,15.5,26,0.106
,NA,,NBA,,24,114,8.8,0.299,NA,0.219,NA,NA,NA,13.3,NA,NA,NA,NA,NA,-0.5,0,-0.5,-0.21
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"MNM,MMF",ABA,,152,5089,17,0.485,0.01,0.402,NA,NA,13.1,7,NA,NA,13.6,21.8,NA,4.6,9.3,14,0.132
2 seasons,NA,KEN,ABA,,145,2382,14,0.517,0.066,0.363,6.5,14.5,12.9,10.2,NA,NA,16.6,21.2,NA,2.5,2.6,5.1,0.103
2 seasons,NA,NYA,ABA,,84,2969,12.6,0.49,0.035,0.379,NA,NA,11.2,10.4,NA,NA,18.8,21.1,NA,1.8,3,4.8,0.077
1 season,NA,MMT,ABA,,63,1333,13.4,0.54,0.07,0.285,6.7,15.5,11,10,NA,NA,15.1,18.2,NA,1.6,0.5,2.1,0.077
1 season,NA,BAL,NBA,,24,114,8.8,0.299,NA,0.219,NA,NA,NA,13.3,NA,NA,NA,NA,NA,-0.5,0,-0.5,-0.21
