Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Dorian Finney-Smith,,3.3,1.4,0.1,NA,NA,NA,NA
Paul Graham,83.1,3.6,1.9,0.2,NA,NA,NA,NA
Juan Hernangómez,82.5,3,1.8,0.4,NA,NA,NA,NA
Derrick Jones,81.1,2.9,1.1,0.4,NA,NA,NA,NA
Sam Dekker,75.9,3.1,1.2,1,0,NA,NA,NA
Harthorne Wingo,75.3,3.9,1.4,0.9,0,NA,NA,NA
Reggie Williams,74.4,3.7,1.7,0.3,0.3,0.2,0.2,0
Jim Bradley,74.2,2.3,1.3,0.1,NA,NA,NA,NA
Willie Reed,74.1,3.6,1.5,1.2,NA,NA,NA,NA
Tom Marshall,73.9,3.5,0.7,0.2,-0.3,NA,NA,NA
Dave Lattin,73.4,3.2,2,0.6,0.4,0.2,NA,NA
