Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Roger Phegley,,3.7,2.6,1.6,0.8,0,-0.1,NA
Jerian Grant,91.9,3.3,2.5,1.7,0.8,NA,NA,NA
Tyus Jones,88.3,3.6,3,1.5,0.3,NA,NA,NA
Khalid Reeves,88.2,3.5,2.5,1.2,1.1,0.1,0,NA
Pep Saul,84.9,4.2,2.8,1.5,0.8,0.6,NA,NA
Eddie Robinson,83.3,4,3,2.2,0.8,0.2,NA,NA
Jim Les,81.5,3.6,2.3,1.3,0.3,0.3,0.2,0.1
Ron Sobie,81.5,3.6,2.6,0.9,0.1,NA,NA,NA
Norman Powell,81.3,2.8,2.4,1.6,0.6,NA,NA,NA
Ron Lee,80.4,3.8,2.8,1.6,1.4,0.8,0.3,NA
Reggie Bullock,80.1,4.2,3.1,1.2,1,0.2,0.1,NA
