Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Roger Phegley,,3.7,2.6,1.6,0.8,0,-0.1
Kevin Ollie,93.1,3.8,2.4,1.4,0.9,0,-0.1
Jerian Grant,91.9,3.3,2.5,1.7,0.8,NA,NA
Tyus Jones,88.3,3.6,3,1.5,0.3,NA,NA
Khalid Reeves,88.2,3.5,2.5,1.2,1.1,0.1,0
Shannon Brown,85.4,3.4,3.1,1.6,0.7,0.1,-0.5
Pep Saul,84.9,4.2,2.8,1.5,0.8,0.6,NA
Quincy Pondexter,83.9,3.2,2.9,1.7,0.9,0.4,-0.2
Brandon Rush,83.7,3.5,2.6,2.5,0.9,0,-0.4
Eddie Robinson,83.3,4,3,2.2,0.8,0.2,NA
Jim Les,83.2,3.6,2.3,1.3,0.3,0.3,0.1
