Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,25,CIN,NBA,SG,4,NA,13.3,2,4.8,0.421,NA,NA,NA,2,4.8,0.421,0.421,1.3,1.3,1,NA,NA,1.3,0.8,NA,NA,0.5,5.3
1962-63,26,CIN,NBA,SG,12,NA,16.7,2.8,6.8,0.402,NA,NA,NA,2.8,6.8,0.402,0.402,2.6,3.7,0.705,NA,NA,1.3,2.3,NA,NA,1.6,8.1
1963-64,27,CIN,NBA,SG,7,NA,9.4,1.1,3.7,0.308,NA,NA,NA,1.1,3.7,0.308,0.308,0.7,1,0.714,NA,NA,1.3,0.6,NA,NA,1.1,3
1964-65,28,CIN,NBA,SG,4,NA,37.5,4.5,12,0.375,NA,NA,NA,4.5,12,0.375,0.375,5.3,5.5,0.955,NA,NA,2.8,5.3,NA,NA,2.8,14.3
1965-66,29,CIN,NBA,SG,5,NA,31.4,4.4,11.8,0.373,NA,NA,NA,4.4,11.8,0.373,0.373,4.2,4.4,0.955,NA,NA,2.4,2.6,NA,NA,2.4,13
1966-67,30,CIN,NBA,SG,4,NA,30,4.5,12,0.375,NA,NA,NA,4.5,12,0.375,0.375,2.3,3,0.75,NA,NA,2,2.8,NA,NA,2,11.3
1971-72,35,VIR,ABA,SG,11,NA,27,4.2,9,0.465,0.1,0.5,0.2,4.1,8.5,0.479,0.47,2.9,3.4,0.865,NA,NA,1.7,1.5,NA,1,2.5,11.4
Career,NA,,TOT,,47,NA,22.2,3.3,8.1,0.402,0.1,0.5,0.2,3.2,8,0.404,0.403,2.6,3.2,0.832,NA,NA,1.7,2.1,NA,1,1.9,9.2
,NA,,NBA,,36,NA,20.7,3,7.8,0.379,NA,NA,NA,3,7.8,0.379,0.379,2.6,3.1,0.821,NA,NA,1.7,2.2,NA,NA,1.7,8.5
,NA,,ABA,,11,NA,27,4.2,9,0.465,0.1,0.5,0.2,4.1,8.5,0.479,0.47,2.9,3.4,0.865,NA,NA,1.7,1.5,NA,1,2.5,11.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,CIN,NBA,,36,NA,20.7,3,7.8,0.379,NA,NA,NA,3,7.8,0.379,0.379,2.6,3.1,0.821,NA,NA,1.7,2.2,NA,NA,1.7,8.5
1 season,NA,VIR,ABA,,11,NA,27,4.2,9,0.465,0.1,0.5,0.2,4.1,8.5,0.479,0.47,2.9,3.4,0.865,NA,NA,1.7,1.5,NA,1,2.5,11.4
