Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,BLK,TOV,PF,PTS
1965-66,29,CIN,NBA,SG,1,0,26:00,9,18,0.5,NA,NA,NA,6,6,1,NA,8,3,NA,NA,5,24
Career,NA,,NBA,,1,0,26,9,18,0.5,NA,NA,NA,6,6,1,NA,8,3,NA,NA,5,24
