Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,25,CIN,NBA,SG,80,NA,1462,5,12.3,0.405,NA,NA,NA,5,12.3,0.405,4.2,5.5,0.775,NA,NA,3.7,4.1,NA,NA,2.5,14.2
1962-63,26,CIN,NBA,SG,79,NA,1522,5.7,12.9,0.443,NA,NA,NA,5.7,12.9,0.443,5.3,6.5,0.811,NA,NA,4.1,3.3,NA,NA,3.7,16.7
1963-64,27,CIN,NBA,SG,66,NA,1524,5.5,13.6,0.406,NA,NA,NA,5.5,13.6,0.406,3.6,4.7,0.782,NA,NA,3.5,3.4,NA,NA,3.9,14.7
1964-65,28,CIN,NBA,SG,80,NA,2745,6.1,13.3,0.456,NA,NA,NA,6.1,13.3,0.456,3.7,4.5,0.83,NA,NA,2.9,3.1,NA,NA,2.6,15.9
1965-66,29,CIN,NBA,SG,80,NA,2982,6.4,15.8,0.405,NA,NA,NA,6.4,15.8,0.405,4.9,5.8,0.85,NA,NA,3.5,3.1,NA,NA,3.3,17.7
1966-67,30,CIN,NBA,SG,81,NA,2636,6.9,15.7,0.438,NA,NA,NA,6.9,15.7,0.438,4.7,5.2,0.903,NA,NA,2.8,2.6,NA,NA,3.7,18.4
1967-68,31,CIN,NBA,SG,82,NA,2783,6.2,13.4,0.464,NA,NA,NA,6.2,13.4,0.464,4.1,5,0.829,NA,NA,2.4,3.5,NA,NA,3.4,16.6
1968-69,32,CIN,NBA,SG,73,NA,1336,6.5,15.1,0.432,NA,NA,NA,6.5,15.1,0.432,5.8,7.2,0.807,NA,NA,2.8,3.4,NA,NA,4.5,18.9
1969-70,33,TOT,NBA,SG,77,NA,1087,5.1,13.8,0.368,NA,NA,NA,5.1,13.8,0.368,5,5.6,0.894,NA,NA,2.7,4.4,NA,NA,4,15.2
1969-70,33,CIN,NBA,SG,32,NA,453,4.8,11.8,0.405,NA,NA,NA,4.8,11.8,0.405,4.1,4.8,0.867,NA,NA,2.6,3.6,NA,NA,4.5,13.7
1969-70,33,SFW,NBA,SG,45,NA,634,5.3,15.2,0.347,NA,NA,NA,5.3,15.2,0.347,5.7,6.2,0.909,NA,NA,2.8,4.9,NA,NA,3.7,16.2
1970-71,34,SFW,NBA,SG,21,NA,247,5.5,13,0.427,NA,NA,NA,5.5,13,0.427,5.1,6,0.854,NA,NA,3.5,4.4,NA,NA,3.5,16.2
1971-72,35,VIR,ABA,SG,53,NA,686,4.6,10.2,0.446,0.1,0.6,0.182,4.5,9.7,0.462,4.8,5.4,0.893,0.7,1.7,2.4,2.2,NA,1.8,4.7,14.1
Career,NA,,TOT,,772,NA,19010,6,14,0.43,0.1,0.6,0.182,6,14,0.43,4.5,5.4,0.838,0.7,1.7,3.1,3.3,NA,1.8,3.5,16.6
,NA,,NBA,,719,NA,18324,6.1,14.1,0.429,NA,NA,NA,6.1,14.1,0.429,4.5,5.4,0.836,NA,NA,3.1,3.3,NA,NA,3.4,16.7
,NA,,ABA,,53,NA,686,4.6,10.2,0.446,0.1,0.6,0.182,4.5,9.7,0.462,4.8,5.4,0.893,0.7,1.7,2.4,2.2,NA,1.8,4.7,14.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,CIN,NBA,,653,NA,17443,6.1,14.1,0.432,NA,NA,NA,6.1,14.1,0.432,4.5,5.4,0.832,NA,NA,3.1,3.3,NA,NA,3.4,16.7
2 seasons,NA,SFW,NBA,,66,NA,881,5.4,14.6,0.367,NA,NA,NA,5.4,14.6,0.367,5.5,6.2,0.894,NA,NA,3,4.8,NA,NA,3.7,16.2
1 season,NA,VIR,ABA,,53,NA,686,4.6,10.2,0.446,0.1,0.6,0.182,4.5,9.7,0.462,4.8,5.4,0.893,0.7,1.7,2.4,2.2,NA,1.8,4.7,14.1
