,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,25,CIN,NBA,,8,,,,,,7,,,,,,,,,20
1962-63,26,CIN,NBA,,7,,,,,,8,,,,,,,,,22
1963-64,27,CIN,NBA,,13,,,,,,7,9,,,,,,,,29
1964-65,28,CIN,NBA,,13,,,,,,11,14,,,,,,,,32
1965-66,29,CIN,NBA,,14,,,,,,13,17,,,,,,,,35
1966-67,30,CIN,NBA,,13,,,,,,11,13,,,,,,,,30
1967-68,31,CIN,NBA,,12,,,,,,13,14,,,,,,,,31
1968-69,32,CIN,NBA,,9,,,,,,11,14,,,,,,,,24
1969-70,33,TOT,NBA,,11,,,,,,8,9,,,,,,,,23
1969-70,33,CIN,NBA,,8,,,,,,5,6,,,,,,,,17
1969-70,33,SFW,NBA,,11,16,,,,,8,9,,,4,8,,,5,23
1970-71,34,SFW,NBA,,7,11,,,,,9,9,,,4,3,,,3,23
1971-72,35,VIR,ABA,,7,,1,,,,8,8,,,,,,,,18
Career,,,TOT,,14,,,,,,13,,,,,,,,,35
,,,NBA,,14,,,,,,13,,,,,,,,,35
,,,ABA,,7,,1,,,,8,8,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,
9 Seasons,,CIN,NBA,,14,,,,,,13,,,,,,,,,35
2 Seasons,,SFW,NBA,,11,16,,,,,9,9,,,4,8,,,5,23
1 Season,,VIR,ABA,,7,,1,,,,8,8,,,,,,,,18
