Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Adrian Smith,,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,NA
Arron Afflalo,93.4,6.2,5.3,5.3,4.3,2.7,2.6,2,1.9,1.8,1.4,0.1,NA
Bob Weiss,89.5,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.4,1.1,0.1,0
Walt Hazzard,89.4,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.6,0.2,NA,NA
John Paxson,88.7,6,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6,NA
Austin Carr,88.5,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4,NA,NA
Foots Walker,88.5,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3,NA,NA
Guy Rodgers,88.0,6.2,4.8,4.3,4,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2
Al Attles,87.9,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4,NA
Raja Bell,87.9,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1
Luke Ridnour,87.5,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.6,0.1
