Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1961-62,25,CIN,NBA,SG,4,53,11.1,0.495,NA,0.263,NA,NA,NA,7,NA,NA,NA,NA,0.1,0,0.1,0.058
1962-63,26,CIN,NBA,SG,12,200,12.7,0.478,NA,0.537,NA,NA,NA,18.9,NA,NA,NA,NA,0.1,0.1,0.2,0.043
1963-64,27,CIN,NBA,SG,7,66,5.7,0.361,NA,0.269,NA,NA,NA,8.5,NA,NA,NA,NA,-0.1,0,-0.1,-0.072
1964-65,28,CIN,NBA,SG,4,150,12.1,0.494,NA,0.458,NA,NA,NA,19,NA,NA,NA,NA,0.2,0,0.2,0.053
1965-66,29,CIN,NBA,SG,5,157,11.3,0.473,NA,0.373,NA,NA,NA,12.2,NA,NA,NA,NA,0.1,0,0.1,0.033
1966-67,30,CIN,NBA,SG,4,120,8.7,0.422,NA,0.25,NA,NA,NA,11.6,NA,NA,NA,NA,0,0,-0.1,-0.038
1971-72,35,VIR,ABA,SG,11,297,12,0.542,0.051,0.374,NA,NA,2.9,6.9,NA,8.7,15.9,NA,0.4,0.3,0.6,0.102
Career,NA,,TOT,,47,1043,11.2,0.483,0.013,0.391,NA,NA,2.9,12.4,NA,8.7,15.9,NA,0.6,0.3,1,0.044
,NA,,NBA,,36,746,10.9,0.462,NA,0.397,NA,NA,NA,14.6,NA,NA,NA,NA,0.2,0.1,0.3,0.021
,NA,,ABA,,11,297,12,0.542,0.051,0.374,NA,NA,2.9,6.9,NA,8.7,15.9,NA,0.4,0.3,0.6,0.102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,CIN,NBA,,36,746,10.9,0.462,NA,0.397,NA,NA,NA,14.6,NA,NA,NA,NA,0.2,0.1,0.3,0.021
1 season,NA,VIR,ABA,,11,297,12,0.542,0.051,0.374,NA,NA,2.9,6.9,NA,8.7,15.9,NA,0.4,0.3,0.6,0.102
