Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,25,CIN,NBA,SG,4,NA,53,5.4,12.9,0.421,NA,NA,NA,5.4,12.9,0.421,3.4,3.4,1,NA,NA,3.4,2,NA,NA,1.4,14.3
1962-63,26,CIN,NBA,SG,12,NA,200,5.9,14.8,0.402,NA,NA,NA,5.9,14.8,0.402,5.6,7.9,0.705,NA,NA,2.9,5,NA,NA,3.4,17.5
1963-64,27,CIN,NBA,SG,7,NA,66,4.4,14.2,0.308,NA,NA,NA,4.4,14.2,0.308,2.7,3.8,0.714,NA,NA,4.9,2.2,NA,NA,4.4,11.5
1964-65,28,CIN,NBA,SG,4,NA,150,4.3,11.5,0.375,NA,NA,NA,4.3,11.5,0.375,5,5.3,0.955,NA,NA,2.6,5,NA,NA,2.6,13.7
1965-66,29,CIN,NBA,SG,5,NA,157,5,13.5,0.373,NA,NA,NA,5,13.5,0.373,4.8,5,0.955,NA,NA,2.8,3,NA,NA,2.8,14.9
1966-67,30,CIN,NBA,SG,4,NA,120,5.4,14.4,0.375,NA,NA,NA,5.4,14.4,0.375,2.7,3.6,0.75,NA,NA,2.4,3.3,NA,NA,2.4,13.5
1971-72,35,VIR,ABA,SG,11,NA,297,5.6,12,0.465,0.1,0.6,0.2,5.5,11.4,0.479,3.9,4.5,0.865,NA,NA,2.3,2.1,NA,1.3,3.4,15.2
Career,NA,,TOT,,47,NA,1043,5.3,13.2,0.402,0.1,0.6,0.2,5.2,13,0.404,4.3,5.1,0.832,NA,NA,2.8,3.3,NA,1.3,3,14.9
,NA,,NBA,,36,NA,746,5.2,13.6,0.379,NA,NA,NA,5.2,13.6,0.379,4.4,5.4,0.821,NA,NA,2.9,3.9,NA,NA,2.9,14.8
,NA,,ABA,,11,NA,297,5.6,12,0.465,0.1,0.6,0.2,5.5,11.4,0.479,3.9,4.5,0.865,NA,NA,2.3,2.1,NA,1.3,3.4,15.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,CIN,NBA,,36,NA,746,5.2,13.6,0.379,NA,NA,NA,5.2,13.6,0.379,4.4,5.4,0.821,NA,NA,2.9,3.9,NA,NA,2.9,14.8
1 season,NA,VIR,ABA,,11,NA,297,5.6,12,0.465,0.1,0.6,0.2,5.5,11.4,0.479,3.9,4.5,0.865,NA,NA,2.3,2.1,NA,1.3,3.4,15.2
