,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,25,CIN,NBA,,4,,,,,,2,2,,,,,,,,10
1962-63,26,CIN,NBA,,9,,,,,,7,,,,,,,,5,19
1963-64,27,CIN,NBA,,3,7,,,,,3,4,,,3,,,,4,7
1964-65,28,CIN,NBA,,7,19,,,,,9,9,,,4,6,,,4,23
1965-66,29,CIN,NBA,,12,,,,,,10,10,,,,,,,,26
1966-67,30,CIN,NBA,,8,16,,,,,4,7,,,5,3,,,3,20
1971-72,35,VIR,ABA,,11,,1,,,,6,7,,,,,,,,24
Career,,,TOT,,12,,,,,,10,,,,,,,,,26
,,,NBA,,12,,,,,,10,,,,,,,,,26
,,,ABA,,11,,1,,,,6,7,,,,,,,,24
,,,,,,,,,,,,,,,,,,,,
6 Seasons,,CIN,NBA,,12,,,,,,10,,,,,,,,,26
1 Season,,VIR,ABA,,11,,1,,,,6,7,,,,,,,,24
