Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,25,CIN,NBA,SG,4,NA,53,8,19,0.421,NA,NA,NA,8,19,0.421,0.421,5,5,1,NA,NA,5,3,NA,NA,2,21
1962-63,26,CIN,NBA,SG,12,NA,200,33,82,0.402,NA,NA,NA,33,82,0.402,0.402,31,44,0.705,NA,NA,16,28,NA,NA,19,97
1963-64,27,CIN,NBA,SG,7,NA,66,8,26,0.308,NA,NA,NA,8,26,0.308,0.308,5,7,0.714,NA,NA,9,4,NA,NA,8,21
1964-65,28,CIN,NBA,SG,4,NA,150,18,48,0.375,NA,NA,NA,18,48,0.375,0.375,21,22,0.955,NA,NA,11,21,NA,NA,11,57
1965-66,29,CIN,NBA,SG,5,NA,157,22,59,0.373,NA,NA,NA,22,59,0.373,0.373,21,22,0.955,NA,NA,12,13,NA,NA,12,65
1966-67,30,CIN,NBA,SG,4,NA,120,18,48,0.375,NA,NA,NA,18,48,0.375,0.375,9,12,0.75,NA,NA,8,11,NA,NA,8,45
1971-72,35,VIR,ABA,SG,11,NA,297,46,99,0.465,1,5,0.2,45,94,0.479,0.47,32,37,0.865,NA,NA,19,17,NA,11,28,125
Career,NA,,TOT,,47,NA,1043,153,381,0.402,1,5,0.2,152,376,0.404,0.403,124,149,0.832,NA,NA,80,97,NA,11,88,431
,NA,,NBA,,36,NA,746,107,282,0.379,NA,NA,NA,107,282,0.379,0.379,92,112,0.821,NA,NA,61,80,NA,NA,60,306
,NA,,ABA,,11,NA,297,46,99,0.465,1,5,0.2,45,94,0.479,0.47,32,37,0.865,NA,NA,19,17,NA,11,28,125
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,CIN,NBA,,36,NA,746,107,282,0.379,NA,NA,NA,107,282,0.379,0.379,92,112,0.821,NA,NA,61,80,NA,NA,60,306
1 season,NA,VIR,ABA,,11,NA,297,46,99,0.465,1,5,0.2,45,94,0.479,0.47,32,37,0.865,NA,NA,19,17,NA,11,28,125
