Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1961-62,25,CIN,NBA,SG,80,1462,11,0.483,NA,0.445,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.5,1.8,0.061
1962-63,26,CIN,NBA,SG,79,1522,13.1,0.53,NA,0.506,NA,NA,NA,NA,NA,NA,NA,NA,2.7,0.7,3.4,0.107
1963-64,27,CIN,NBA,SG,66,1524,10.7,0.469,NA,0.342,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1,1.9,0.059
1964-65,28,CIN,NBA,SG,80,2745,12.9,0.519,NA,0.337,NA,NA,NA,11.9,NA,NA,NA,NA,5,1.1,6.1,0.106
1965-66,29,CIN,NBA,SG,80,2982,12.4,0.483,NA,0.366,NA,NA,NA,11.3,NA,NA,NA,NA,2.9,1.5,4.4,0.071
1966-67,30,CIN,NBA,SG,81,2636,12.6,0.512,NA,0.331,NA,NA,NA,9.5,NA,NA,NA,NA,4,1,5.1,0.092
1967-68,31,CIN,NBA,SG,82,2783,12.4,0.531,NA,0.373,NA,NA,NA,12.9,NA,NA,NA,NA,4.7,0.5,5.2,0.089
1968-69,32,CIN,NBA,SG,73,1336,13.5,0.517,NA,0.479,NA,NA,NA,13.2,NA,NA,NA,NA,2.4,0.2,2.6,0.092
1969-70,33,TOT,NBA,SG,77,1087,10.7,0.467,NA,0.409,NA,NA,NA,15.8,NA,NA,NA,NA,-0.1,0.9,0.8,0.036
1969-70,33,CIN,NBA,SG,32,453,9.4,0.493,NA,0.405,NA,NA,NA,12.2,NA,NA,NA,NA,0.2,0.3,0.5,0.051
1969-70,33,SFW,NBA,SG,45,634,11.7,0.452,NA,0.41,NA,NA,NA,18.3,NA,NA,NA,NA,-0.3,0.6,0.3,0.024
1970-71,34,SFW,NBA,SG,21,247,14.2,0.518,NA,0.461,NA,NA,4.3,16.8,NA,NA,NA,NA,0.4,0.2,0.5,0.105
1971-72,35,VIR,ABA,SG,53,686,10,0.558,0.056,0.528,1.8,4.1,2.9,7.4,NA,12.4,14.4,NA,1,0.5,1.5,0.105
Career,NA,,TOT,,772,19010,12.2,0.506,0.001,0.388,1.8,4.1,3.3,11.8,NA,12.4,14.4,NA,25.3,7.9,33.2,0.084
,NA,,NBA,,719,18324,12.3,0.504,NA,0.384,NA,NA,4.3,12.1,NA,NA,NA,NA,24.3,7.4,31.7,0.083
,NA,,ABA,,53,686,10,0.558,0.056,0.528,1.8,4.1,2.9,7.4,NA,12.4,14.4,NA,1,0.5,1.5,0.105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,CIN,NBA,,653,17443,12.3,0.506,NA,0.382,NA,NA,NA,11.7,NA,NA,NA,NA,24.2,6.6,30.9,0.085
2 seasons,NA,SFW,NBA,,66,881,12.4,0.469,NA,0.423,NA,NA,4.3,17.9,NA,NA,NA,NA,0.1,0.8,0.9,0.047
1 season,NA,VIR,ABA,,53,686,10,0.558,0.056,0.528,1.8,4.1,2.9,7.4,NA,12.4,14.4,NA,1,0.5,1.5,0.105
