Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ryan Anderson,,8.9,6.5,6.4,5.2,4.8,3.9,3.5,3.1,2.5,2.3,-0.2
Luis Scola,93.2,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,0.8,NA
Josh Smith,92.1,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1
Orlando Woolridge,91.5,9,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,1.8,0.8
Udonis Haslem,90.5,9.2,7,6,5.7,5.1,4.8,3.5,3.2,2.5,1.1,0.9
Kenyon Martin,89.5,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,0
Kurt Thomas,88.9,8.2,6.5,5.4,5.2,5.2,5,3.8,3.3,2.5,0.5,-0.2
Matt Harpring,88.4,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2
Metta World Peace,88.2,8,7.2,6.7,5.5,5.3,4.7,3.7,2.7,2.3,1.9,1.3
Jeff Foster,88.2,8.3,6.5,5.7,5.4,4.5,4.2,4.2,2.7,1.6,0.6,0.4
Junior Bridgeman,88.0,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8
