Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Earl Lloyd,,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA,NA,NA
Jackie Moreland,88.7,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,NA,NA,NA,NA
Donald Royal,87.7,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA,NA
Lamond Murray,87.1,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3,NA
Tony Campbell,87.0,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3,NA
Andray Blatche,86.8,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA,NA,NA
Kwame Brown,86.8,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1
Corey Brewer,85.7,5.2,3.9,3.1,2.3,2.3,1.2,1.2,1.1,1,1,0.3,-0.2
Jeff Cook,85.1,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA,NA,NA
Kenny Walker,84.7,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA,NA,NA
Ronald Franz,84.5,5.9,3.7,3.3,2.2,2.1,0.9,NA,NA,NA,NA,NA,NA
