Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1950-51,22,WSC,NBA,SF,7,NA,NA,0.528,0.371,NA,NA,NA,NA,NA,0.4,0.1,0.6,NA
1952-53,24,SYR,NBA,SF,64,1806,11.2,0.426,0.51,NA,NA,NA,NA,NA,0.5,2.5,2.9,0.078
1953-54,25,SYR,NBA,SF,72,2206,12.4,0.431,0.314,NA,NA,NA,NA,NA,1.2,4,5.2,0.113
1954-55,26,SYR,NBA,SF,72,2212,11.6,0.417,0.27,NA,NA,NA,NA,NA,-0.3,3.9,3.6,0.077
1955-56,27,SYR,NBA,SF,72,1837,10.8,0.412,0.379,NA,NA,NA,NA,NA,-0.5,2.9,2.4,0.062
1956-57,28,SYR,NBA,SF,72,1965,10.1,0.422,0.261,NA,NA,NA,NA,NA,0.4,1.8,2.2,0.054
1957-58,29,SYR,NBA,SF,61,1045,8.6,0.391,0.295,NA,NA,NA,NA,NA,-0.5,1.2,0.7,0.03
1958-59,30,DET,NBA,SF,72,1796,9.7,0.403,0.272,NA,NA,NA,NA,NA,-0.8,2.1,1.3,0.034
1959-60,31,DET,NBA,SF,68,1610,8.7,0.409,0.241,NA,NA,NA,NA,NA,-0.7,1.1,0.4,0.011
Career,NA,,NBA,,560,14477,10.6,0.416,0.309,NA,NA,NA,NA,NA,-0.5,19.6,19.1,0.062
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,SYR,NBA,,413,11071,11,0.418,0.329,NA,NA,NA,NA,NA,0.7,16.3,16.9,0.073
2 seasons,NA,DET,NBA,,140,3406,9.2,0.406,0.256,NA,NA,NA,NA,NA,-1.6,3.2,1.6,0.023
1 season,NA,WSC,NBA,,7,NA,NA,0.528,0.371,NA,NA,NA,NA,NA,0.4,0.1,0.6,NA
