Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Earl Lloyd,,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4
Jackie Moreland,88.7,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,NA
Donald Royal,87.7,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA
Corey Brewer,87.2,5.2,3.9,3.1,2.3,1.2,1.1,1,0.3,-0.2
Kwame Brown,87.1,4.9,3.6,2.5,1.9,1.9,0.8,0.6,0.6,-0.1
Andray Blatche,86.8,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1
Tony Campbell,86.5,5.3,3.7,2.5,2.5,1.4,1.1,0.4,0.4,-0.3
Jeff Cook,85.1,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA
Lamond Murray,84.8,4.9,4.1,3.3,2.3,2.1,1.2,0.3,-0.3,-0.3
Kenny Walker,84.7,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA
James Jones,84.6,4.7,4,3.7,2.5,2.2,1.7,1,0.9,0
