,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1950-51,22,WSC,NBA,,4,,2,,,,,9
1952-53,24,SYR,NBA,,7,,11,15,,,6,23
1953-54,25,SYR,NBA,,9,,7,8,,,6,21
1954-55,26,SYR,NBA,,10,,8,9,,,6,24
1955-56,27,SYR,NBA,,8,,9,10,,,6,19
1956-57,28,SYR,NBA,,11,,7,11,,,6,22
1957-58,29,SYR,NBA,,10,,8,8,,,,22
1958-59,30,DET,NBA,,9,,8,9,,,,22
1959-60,31,DET,NBA,,7,,7,8,,,,20
Career,,,,,11,,11,,,,,24
6 Seasons,,SYR,NBA,,11,,11,15,,,,24
2 Seasons,,DET,NBA,,9,,8,9,,,,22
1 Season,,WSC,NBA,,4,,2,,,,,9
