Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Willie Reed,,3.6,1.5,1.2,NA,NA,NA,NA
Willie Long,88.7,3.5,2.1,1.2,NA,NA,NA,NA
Harthorne Wingo,87.9,3.9,1.4,0.9,0,NA,NA,NA
Don Boven,84.8,3.8,2.2,1.5,NA,NA,NA,NA
Sam Dekker,82.9,3.1,1.2,1,0,NA,NA,NA
John Trapp,82.4,3.3,1.2,1.2,0.6,0,NA,NA
Mike Farmer,82.1,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Tommy Byrnes,80.6,4,1.7,0.9,0.3,-0.2,NA,NA
Mike Sweetney,80.6,3.8,2.1,1.4,0.4,NA,NA,NA
Paul Graham,79.2,3.6,1.9,0.2,NA,NA,NA,NA
Andy Johnson,78.2,4.6,1.8,1.3,0.3,NA,NA,NA
