Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Johnny High,,2.5,1.2,1.1,-0.1
Tim Frazier,91.0,2.4,1.4,1,-0.1
Kirk Snyder,88.0,2.2,1.4,1.1,-0.2
David Nwaba,86.4,2.4,1.4,0.8,NA
Steven Kramer,83.7,1.9,1.2,1.1,NA
Nick Young,83.1,2.8,1.4,1.2,0.4
Bo Lamar,82.9,2.5,1.5,1,0.5
Keith Bogans,82.5,2.3,1.7,1.3,0.1
Donnie Butcher,82.3,1.9,1.2,1.1,-0.3
Courtney Alexander,82.2,2.2,1.1,0.8,NA
Kenny Higgs,82.2,2.2,1.5,1,NA
