Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Eric Money,,4.2,3.6,3.3,2.7,0.6,0.3
Cory Joseph,92.3,4.5,3.5,3.4,2.9,0.9,0
Gerald Henderson,90.6,3.6,3.6,3.3,2.4,1,0.4
Chico Vaughn,90.3,4.9,3.4,3.4,2.3,0.8,0.4
Calbert Cheaney,90.1,4.1,3.9,3.2,3.2,1.2,0.4
Carlos Delfino,88.4,4.8,4,3.5,2.9,1,0.5
Speedy Claxton,87.2,4.2,3.7,3,2.8,1.2,-0.7
T.J. Ford,87.1,4.3,4.3,3.3,2.5,1.4,0.7
Whitey Skoog,86.7,4.1,3.6,2.9,1.9,1,0.7
Herm Gilliam,86.3,4.9,3.4,2.9,2.5,1.4,0.4
Jamaal Tinsley,86.3,4.4,3.7,2.8,2.8,1.7,0.7
