Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Fred LaCour,,1.7,1.7,-0.1,NA,NA
Andrew Harrison,93.5,1.7,1.6,-0.1,NA,NA
Quinn Cook,87.6,1.8,1.6,0.2,NA,NA
Billy Shepherd,81.1,1.7,1.3,-0.3,NA,NA
Richie Regan,78.6,1.6,1.5,0.4,NA,NA
Steve Bracey,77.1,2.1,1.5,0.3,NA,NA
Rashad McCants,72.6,1.7,1.6,0.6,-0.3,NA
Eric Maynor,72.2,1.9,1.5,0.2,0.1,-0.4
Andrew Anderson,71.0,2.3,1.7,-0.5,NA,NA
Frank Kudelka,70.9,2.4,1.7,-0.4,NA,NA
Ollie Mack,70.9,1.6,1,-0.1,NA,NA
