Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Joe Strawder,,4.3,3.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brad Sellers,78.8,3.3,3.3,2.6,0.4,0.2,0,NA,NA,NA,NA,NA,NA
Kleggie Hermsen,75.7,4.3,3,2.9,1.9,-0.5,NA,NA,NA,NA,NA,NA,NA
Chris Mihm,75.7,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA,NA,NA,NA
George Peeples,72.8,4.1,3.2,2.1,1.5,0.2,0,NA,NA,NA,NA,NA,NA
Noble Jorgensen,72.4,4.8,3.8,3.6,1.8,-0.5,NA,NA,NA,NA,NA,NA,NA
DeSagana Diop,71.2,4.1,3.8,3,1.4,1,0.4,0,-0.1,-0.1,-0.2,-0.2,-0.3
Lee Davis,70.9,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA,NA,NA,NA
Isaac Austin,69.7,4,3.6,1.2,0.3,0.3,0.2,0,0,-0.5,NA,NA,NA
Lee Knorek,69.3,5.1,2.5,1.7,0,NA,NA,NA,NA,NA,NA,NA,NA
Bob Houbregs,69.0,6.9,4.5,2.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA
