Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Jack Nichols,,6.7,4.4,4.3,4.1,2.5,1.6,1,0.3,NA,NA,NA,NA,NA
Nenad Krstić,86.0,5.4,4.4,4.2,4,1.9,1.7,-0.1,NA,NA,NA,NA,NA,NA
Sam Bowie,85.9,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1,NA,NA,NA
Tim McCormick,85.6,6,4.6,3.9,3.8,2,1.1,0.2,-0.1,NA,NA,NA,NA,NA
Cody Zeller,84.4,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA,NA,NA,NA,NA,NA
Joel Przybilla,84.3,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1,0
Matt Geiger,82.7,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,NA,NA,NA
Lloyd Neal,82.1,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,NA,NA,NA,NA,NA,NA
Kevin Kunnert,81.4,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA,NA,NA,NA
Bismack Biyombo,80.9,5.9,4,3.2,2.9,2.9,2,1.4,0.6,NA,NA,NA,NA,NA
Gene Moore,80.4,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA,NA,NA,NA,NA
