Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jack Nichols,,6.7,4.4,4.3,4.1,2.5,1.6,1,0.3,NA
Sam Bowie,87.9,5.7,4.7,4.6,4.3,2.6,2.4,0.8,0.5,0.1
Nenad Krstić,86.0,5.4,4.4,4.2,4,1.9,1.7,-0.1,NA,NA
Chris Andersen,85.7,5.9,5.4,4.5,3.2,2.4,1.3,1.1,0.3,0
Tim McCormick,85.6,6,4.6,3.9,3.8,2,1.1,0.2,-0.1,NA
JaVale McGee,84.5,5.3,4.9,4.1,3.5,2.1,2,1.1,0.4,-0.1
Cody Zeller,84.4,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA,NA
Kosta Koufos,83.3,6.5,3.5,3.5,3.3,2.7,2.6,1.3,0.2,0
Matt Geiger,83.0,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7
Lloyd Neal,82.1,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,NA,NA
Joel Przybilla,81.5,6.6,4.7,4.3,2.3,1.9,0.6,0.3,0.1,0.1
