,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2017-18,23,BOS,NBA,28:38,7,10,1,2,6,8,3,5,2,5,7,3,1,1,4,3,15,12.3
Career,,,,28:38,7,10,1,2,6,8,3,5,2,5,7,3,1,1,4,3,15,12.3
