Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Joe Meriweather,,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8
Marreese Speights,91.9,4.2,4,3.8,2.8,2.7,2.1,2.1,1.8,1.7,0.6
Wayne Cooper,89.0,5.1,4.1,3.5,2.9,2.9,2.8,2,1.5,1.2,1.2
George Johnson,87.6,5,4.5,3.6,3.5,3.4,2.6,2.6,2.5,2,0.3
Jon Koncak,86.6,3.8,3.7,3.7,3.7,3.1,2.5,2.3,1.8,1.4,1.1
Clemon Johnson,85.9,4.3,4,3.7,3.5,2.2,2,2,1.7,1.2,0.9
Andrew Lang,85.4,5.7,4.9,3.7,3,2.9,2.3,1.9,1.7,1.4,0.7
Mel Counts,85.0,5,4.3,4.2,2.9,2.7,1.9,1.5,1.5,1,0.3
Otto Moore,84.0,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA
Zaza Pachulia,83.2,5,4.8,3.9,3.9,3.1,2.9,2.7,2.7,1.1,0.3
Benoit Benjamin,82.2,5.4,5.1,4.1,4,3,2.2,2.2,2,1.1,0.9
