Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Chris Engler,,0.3,0.2,0.2,0,0
Patrick O'Bryant,55.8,0.3,0.2,0,0,NA
Paul Davis,51.8,0.2,0.2,0,0,NA
Tom Riker,48.9,0.2,0.2,0,NA,NA
Daniel Orton,45.3,0.5,0.3,0.3,NA,NA
Olumide Oyedeji,36.2,0.4,0.4,0.3,NA,NA
Alan Ogg,31.4,0.5,0.3,0,NA,NA
Matt Fish,30.8,0.4,0.2,0,NA,NA
Kyrylo Fesenko,27.1,0.6,0.3,0.1,0,-0.1
Shawnelle Scott,24.9,0.5,0.4,0.2,0.2,NA
Byron Mullens,24.7,0.5,0.2,0.1,-0.1,-0.2
