Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1976-77,23,WSB,NBA,C,30,NA,119,24,55,0.436,16,29,0.552,16,18,34,4,2,17,NA,29,64
1977-78,24,WSB,NBA,C,49,NA,438,67,140,0.479,57,93,0.613,50,84,134,23,12,21,44,86,191
Career,NA,,NBA,,79,NA,557,91,195,0.467,73,122,0.598,66,102,168,27,14,38,44,115,255
