Season,Team,Lg,Salary
1999-00,Orlando Magic,NBA,"$1,259,400"
2000-01,Los Angeles Clippers,NBA,"$1,353,960"
2001-02,Los Angeles Clippers,NBA,"$1,448,400"
2002-03,Los Angeles Clippers,NBA,"$2,069,764"
2003-04,Los Angeles Clippers,NBA,"$7,000,000"
2004-05,Los Angeles Clippers,NBA,"$7,000,000"
2005-06,Los Angeles Clippers,NBA,"$7,000,000"
2006-07,Los Angeles Clippers,NBA,"$7,000,000"
2007-08,Los Angeles Clippers,NBA,"$7,000,000"
2008-09,Golden State Warriors,NBA,"$8,275,862"
2009-10,Golden State Warriors,NBA,"$8,937,931"
2010-11,Milwaukee Bucks,NBA,"$9,600,000"
2011-12,Charlotte Bobcats,NBA,"$10,262,069"
2012-13,Detroit Pistons,NBA,"$10,924,138"
Career,(may be incomplete),,"$89,131,524"
