Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Cal Bowdler,,1,0.5,0.2,NA,NA,NA
Ronald Dupree,87.1,1,0.5,0.3,0.1,0,0
Joe Holland,85.1,1.2,0.6,0.2,NA,NA,NA
Winston Bennett,83.5,1.1,0.3,0.2,NA,NA,NA
Bob Peterson,81.6,0.9,0.4,0.2,NA,NA,NA
Tremaine Fowlkes,81.0,1.2,0.5,0.4,0,NA,NA
Viktor Khryapa,80.3,1.3,0.4,0.3,0,NA,NA
Kenny Dennard,79.4,1.1,0.3,0.1,NA,NA,NA
Bob Arnzen,79.2,1,0.3,0.3,-0.1,NA,NA
Jerrod Mustaf,78.9,0.8,0.5,0.4,0,NA,NA
Ansu Sesay,77.0,0.8,0.5,0.2,-0.1,NA,NA
