Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ricky Rubio,,6.1,5.9,5.8,5.3,3.7,3,2,0.5
Clem Haskins,91.4,6.8,6.4,6.1,5.3,3.4,2.9,1.6,1
Austin Carr,91.2,5.9,5.4,5.3,5,3.4,2.9,2.6,1
K.C. Jones,90.2,6.7,6.6,5.8,4.9,3.7,3.6,3,0.8
Dave Twardzik,89.1,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1
Al Attles,89.0,5.6,5.3,5.2,5.2,3.5,3.4,1.9,1.7
John Paxson,88.3,6,5.7,4.8,4.2,3.3,2.3,2.2,0.6
Dick McGuire,87.3,6.6,6.3,5.3,5.3,4.7,4.5,2.1,1.3
Butch Beard,87.2,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5
Walt Hazzard,87.1,5.4,5.3,5,4.5,3.3,2.5,2.2,0.2
Brian Winters,86.8,6.2,6,5.5,5.1,5,4.2,3.5,1.1
