,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2011-12,21,MIN,NBA,PG,41,1404,.357,13.7,.758,.249,.141,.098,.270,.242,.363,.485,.218,.289,.352,.340,.121,.003,0,.813,.266,.480,1,0
2012-13,22,MIN,NBA,PG,57,1691,.360,12.9,.821,.317,.089,.091,.323,.179,.374,.448,.239,.319,.355,.293,.196,.000,0,.852,.130,.500,0,0
2013-14,23,MIN,NBA,PG,82,2638,.381,11.8,.801,.407,.073,.069,.252,.199,.393,.491,.347,.174,.308,.331,.175,.000,0,.977,.195,.192,1,0
2014-15,24,MIN,NBA,PG,22,692,.356,16.6,.767,.178,.014,.100,.475,.233,.387,.333,.000,.455,.404,.255,.354,.000,0,.769,.216,.091,0,0
2015-16,25,MIN,NBA,PG,76,2323,.374,15.8,.676,.205,.053,.082,.336,.324,.396,.517,.258,.229,.386,.326,.268,.000,0,.903,.195,.432,1,0
2016-17,26,MIN,NBA,PG,75,2469,.402,16.1,.698,.194,.062,.105,.337,.302,.443,.484,.325,.471,.434,.306,.269,.000,0,.950,.291,.298,3,0
2017-18,27,UTA,NBA,PG,77,2254,.418,15.4,.670,.172,.093,.158,.247,.330,.451,.535,.299,.443,.456,.352,.288,.000,0,.865,.271,.351,0,0
2018-19,28,UTA,NBA,PG,68,1899,.404,14.6,.652,.226,.129,.149,.148,.348,.454,.582,.383,.339,.435,.311,.389,.000,0,.873,.287,.370,1,0
2019-20,29,PHO,NBA,PG,57,1802,.412,13.8,.692,.252,.134,.134,.172,.308,.440,.526,.268,.512,.390,.351,.280,.000,0,.879,.271,.412,0,0
Career,,,NBA,,555,17172,.391,14.5,.717,.246,.092,.114,.265,.283,.416,.503,.298,.379,.394,.326,.263,.000,0,.887,.249,.358,7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MIN,NBA,,353,11217,.375,14.3,.750,.270,.074,.089,.317,.250,.396,.477,.272,.323,.376,.315,.222,.000,0,.903,.222,.339,6,0
2 seasons,,UTA,NBA,,145,4153,.412,15.0,.662,.197,.110,.154,.200,.338,.452,.560,.345,.396,.449,.332,.335,.000,0,.869,.279,.361,1,0
1 season,,PHO,NBA,,57,1802,.412,13.8,.692,.252,.134,.134,.172,.308,.440,.526,.268,.512,.390,.351,.280,.000,0,.879,.271,.412,0,0
