Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ricky Rubio,,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA,NA,NA
Dave Twardzik,89.1,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA,NA,NA
Clem Haskins,88.9,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1,NA,NA
Kevin Porter,88.8,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,NA
Rafer Alston,87.4,6.6,5.9,5.5,5.3,5,3.4,1.2,0.7,0.3,-0.4,-0.7
Butch Beard,87.1,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0,NA,NA
Austin Carr,86.3,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4,NA
Jim Barnett,86.0,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0
Bill Keller,84.8,6.1,5.4,4.4,4.1,4,3.6,2.7,NA,NA,NA,NA
Walt Hazzard,84.5,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.6,0.2,NA
Eric Bledsoe,84.4,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA,NA
