Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Tony Harris,,0.2,0.1,-0.2
Gary Payton,0.9,0.2,0.1,-0.2
Dave Jamerson,-10.8,0.2,0.1,-0.1
A.J. Guyton,-21.4,0.3,0.1,-0.1
Demetrius Jackson,-24.7,0.2,0.1,-0.1
Dwight Buycks,-25.0,0.2,0.1,0
Charles Bradley,-30.3,0.2,0.2,-0.1
Gerald Madkins,-38.9,0.3,0.1,0
Michael Phelps,-41.2,0.3,0.1,-0.1
Brad Holland,-41.3,0.3,0.1,-0.1
Elijah Millsap,-42.6,0.4,0.1,-0.1
