Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bobby Simmons,,6.8,5.3,3.4,2,0.9,0.7,0.7,0.3,0.1,0,NA,NA
Bojan Bogdanović,87.6,6.8,5.4,2.9,2.4,0.9,NA,NA,NA,NA,NA,NA,NA
Paul Walther,84.4,6.6,5.2,3.1,2.2,2,1.3,NA,NA,NA,NA,NA,NA
Mike James,80.7,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0,-0.1,-0.1,-0.1
Johnny Dawkins,80.5,6.4,4.3,3.6,2,1.7,1.1,1.1,1,0.6,NA,NA,NA
Randy Wittman,80.3,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0,NA,NA,NA
George Lehmann,80.0,7.3,5.9,2.5,2.3,0.7,0,0,NA,NA,NA,NA,NA
Ted McClain,79.6,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA,NA,NA,NA
Ron Brewer,79.4,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA,NA,NA,NA
Jeff McInnis,78.8,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1,NA
Delonte West,78.2,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA,NA,NA
