,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,21,WAS,NBA,SF,30,343,.453,10.4,.853,.400,.126,.053,.274,.147,.481,.526,.583,.600,.346,.286,.462,.053,5,.500,.143,1.000,0,0
2002-03,22,WAS,NBA,SG,36,378,.393,12.5,.955,.259,.107,.098,.491,.045,.411,.483,.167,.455,.418,.000,.568,.009,1,,.400,.000,0,0
2003-04,23,LAC,NBA,SF,56,1376,.394,9.9,.968,.375,.129,.126,.338,.032,.402,.500,.292,.255,.389,.167,.628,.024,9,1.000,.500,.333,0,0
2004-05,24,LAC,NBA,SF,75,2799,.466,15.3,.887,.182,.040,.096,.568,.113,.470,.622,.268,.408,.446,.435,.731,.025,24,.960,.783,.456,1,0
2005-06,25,MIL,NBA,SF,75,2538,.453,15.2,.691,.207,.066,.135,.283,.309,.468,.521,.415,.339,.502,.420,.659,.015,12,.971,.364,.396,0,0
2007-08,27,MIL,NBA,SF,70,1521,.421,16.6,.655,.159,.058,.109,.329,.345,.458,.544,.345,.444,.442,.351,.638,.002,1,.867,.468,.425,0,0
2008-09,28,NJN,NBA,SF,71,1729,.449,18.4,.406,.152,.041,.052,.161,.594,.453,.582,.333,.348,.394,.447,.605,.016,6,.932,.561,.476,0,0
2009-10,29,NJN,NBA,PF,23,395,.359,19.1,.462,.120,.043,.060,.239,.538,.407,.500,1.000,.429,.250,.317,.500,.000,0,1.000,.381,.333,0,0
2010-11,30,SAS,NBA,SF,2,16,.000,24.3,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.333,.000,0,0
2011-12,31,LAC,NBA,SF,28,418,.311,19.7,.333,.111,.044,.033,.144,.667,.267,.100,.250,.667,.308,.333,.750,.011,1,1.000,.717,.302,0,0
Career,,,NBA,,466,11513,.437,15.3,.731,.205,.063,.101,.363,.269,.452,.543,.351,.375,.438,.396,.662,.017,59,.939,.509,.424,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAC,NBA,,159,4593,.439,14.2,.874,.226,.063,.100,.484,.126,.446,.555,.280,.365,.434,.385,.705,.024,34,.972,.743,.403,1,0
2 seasons,,MIL,NBA,,145,4059,.441,15.8,.677,.189,.063,.125,.301,.323,.464,.528,.390,.374,.477,.392,.651,.010,13,.933,.406,.409,0,0
2 seasons,,NJN,NBA,,94,2124,.430,18.5,.418,.145,.041,.054,.177,.582,.442,.568,.478,.367,.354,.422,.583,.013,6,.942,.526,.456,0,0
2 seasons,,WAS,NBA,,66,721,.420,11.6,.908,.324,.116,.077,.391,.092,.441,.507,.375,.500,.395,.211,.518,.029,6,.500,.211,.500,0,0
1 season,,SAS,NBA,,2,16,.000,24.3,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.333,.000,0,0
