Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Donny Marshall,,0.6,0.2,0.2,-0.1,-0.1
Alex Poythress,65.6,0.5,0.3,0.1,NA,NA
Mel Bennett,64.0,0.7,0.3,0.1,-0.1,-0.1
Pape Sow,61.6,0.6,0.2,0.1,NA,NA
Christian Wood,57.3,0.8,0.3,0.3,NA,NA
Michael Smith,57.0,0.7,0.3,0.3,NA,NA
Mark Randall,56.6,0.5,0.3,0.2,0,NA
Roderick McDonald,54.7,0.5,0.5,0.2,NA,NA
Ansu Sesay,54.6,0.8,0.5,0.2,-0.1,NA
Jamie Watson,53.3,0.8,0.3,0.1,0,NA
David Vaughn,50.4,0.4,0.2,0.1,-0.1,NA
