Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Shelvin Mack,,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5
Randy Brown,86.2,2.4,1.9,1.8,1.6,1.5,1,0.4,0.3
Alonzo Gee,83.0,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1
Elston Turner,82.1,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2
John Crotty,80.7,2.4,2.1,1.9,1.3,1,0.8,0.3,-0.1
Ledell Eackles,80.2,2.4,2.1,2,1.2,1,1,1,NA
Dion Waiters,79.3,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA
Shaun Livingston,79.2,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Anthony Bowie,78.6,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5
Gary Grant,77.4,3,1.7,1.6,1.4,1.3,1.3,0.6,-0.4
Mike Bratz,77.2,2.7,2.1,1.9,1.7,1.5,0.8,0.4,-0.1
