,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2008-09,18,BUTLER,32,,122,312,57,175,81,107,,142,111,36,1,67,,382,.391,.326,.757,,11.9,4.4,3.5
2009-10,19,BUTLER,38,1173,192,423,72,184,80,109,20,142,115,52,5,79,71,536,.454,.391,.734,30.9,14.1,3.7,3.0
2010-11,20,BUTLER,38,1219,201,493,87,246,120,156,27,170,131,30,3,93,66,609,.408,.354,.769,32.1,16.0,4.5,3.4
Career,,,108,2392,515,1228,216,605,281,372,47,454,357,118,9,239,137,1527,.419,.357,.755,31.5,14.1,4.2,3.3
