,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2012-13,19,MEM,NBA,SG,35,272,.384,7.7,.814,.616,.105,.023,.070,.186,.414,.453,.222,.500,.333,.250,.276,.035,3,.750,.125,.500,0,0
2013-14,20,PHI,NBA,PG,72,1765,.427,8.6,.767,.561,.183,.014,.010,.233,.492,.565,.284,.455,.250,.213,.380,.038,29,.650,.080,.133,8,2
2014-15,21,PHI,NBA,PG,30,895,.403,10.6,.673,.507,.145,.014,.007,.327,.473,.555,.254,.000,.000,.261,.370,.037,14,.703,.063,.222,6,0
2015-16,22,PHI,NBA,PG,8,144,.338,8.4,.738,.569,.123,.031,.015,.262,.396,.486,.000,.000,1.000,.176,.158,.000,0,1.000,.059,.000,0,0
Career,,,NBA,,145,3076,.413,9.1,.739,.548,.164,.015,.013,.261,.477,.550,.263,.286,.278,.231,.363,.036,46,.690,.074,.185,14,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHI,NBA,,110,2804,.415,9.2,.735,.543,.168,.015,.009,.265,.481,.558,.265,.263,.250,.231,.368,.036,43,.688,.072,.160,14,2
1 season,,MEM,NBA,,35,272,.384,7.7,.814,.616,.105,.023,.070,.186,.414,.453,.222,.500,.333,.250,.276,.035,3,.750,.125,.500,0,0
