Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Danny Ferry,,5.6,5.5,4.1,3.9,3.6,2.7,2.3,1.7,1.7,1.3,1,1,0.3
Tom Van Arsdale,89.7,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1.1,1,NA
Ray Scott,89.6,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3,0.9,NA,NA
Kris Humphries,88.2,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.6,1.6,1.5,0.7,0.2,-0.3
Antoine Carr,88.0,5.5,5.4,4.3,4,3.8,3.5,3.3,2.4,2.2,2.1,2.1,1.2,0.7
Tim Thomas,87.8,5.5,4.1,3.9,3.8,3.4,2.9,2.2,2.2,2.2,1.7,1.7,0.9,0.7
Al Harrington,87.7,5.9,5.4,4.3,3.9,3.9,3.8,3.5,2.6,2.1,1.6,1.2,1,-0.2
Bingo Smith,87.0,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1,NA,NA
John Johnson,86.3,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2,0.2,NA
George Lynch,86.1,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7,0,NA
Ben Poquette,86.0,5.4,5,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,NA,NA,NA
