Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Marvin Webster,,8.7,4,3.9,3.2,2.8,2.7,2.5,1.3,0.2,0.2
Kosta Koufos,85.8,6.5,3.9,3.5,3.5,3.3,2.7,2.6,1.3,0.2,0
Mike Green,83.3,8.7,4.7,3.9,3.8,3.3,2.8,0.4,NA,NA,NA
Matt Geiger,76.1,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1
JaVale McGee,76.1,5.3,4.9,4.1,3.5,2.7,2.1,2,1.1,0.4,-0.1
Connie Simmons,75.8,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.1,NA
Leroy Ellis,75.7,6.4,4.7,3.8,3.6,3.2,2.8,2.5,2.3,2.3,1.6
Mark West,75.5,8.2,6.5,5.5,3.9,3.4,3.1,1.9,1.1,0.9,-0.1
Andrew Lang,75.4,5.7,4.9,3.7,3,2.9,2.3,1.9,1.7,1.4,0.7
Bismack Biyombo,75.2,5.9,4,3.2,2.9,2.9,2,1.4,0.6,NA,NA
Wayne Cooper,75.0,5.1,4.1,3.5,2.9,2.9,2.8,2,1.5,1.2,1.2
