Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Troy Williams,,0.5,0.4,0.4,NA,NA
Roderick McDonald,79.7,0.5,0.5,0.2,NA,NA
Obinna Ekezie,76.9,0.7,0.5,0.4,0.2,NA
Michael Smith,76.8,0.7,0.3,0.3,NA,NA
Jerrod Mustaf,75.5,0.8,0.5,0.4,0,NA
Jamal Sampson,74.6,0.5,0.4,0.2,0.2,0
Alex Poythress,73.4,0.5,0.3,0.1,NA,NA
Mark Randall,71.6,0.5,0.3,0.2,0,NA
Anthony Cook,65.4,0.5,0.4,0.1,0.1,NA
Christian Wood,65.4,0.8,0.3,0.3,NA,NA
Ron Grandison,62.9,0.6,0.5,0,0,NA
