Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Brevin Knight,,8.4,4.9,4.5,2.8,2.5,2.1,1.8,1.7,1.6,1.4,0.7,0.2
Leandro Barbosa,89.3,8.2,5.5,5,3.8,2.8,1.9,1.8,1.7,1.5,1.1,0.9,0.4
Jon Barry,88.0,7.5,5.6,4.2,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
John Salmons,85.7,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4
Larry Hughes,85.1,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6
Beno Udrih,84.4,7.2,5.5,3.6,3.1,2.4,2.2,1.4,1.3,1.2,1,0.8,0.4
Damon Jones,84.0,8.7,3.9,3.4,3,2.4,1.9,1.8,1.5,0.7,0.7,0,NA
Mo Williams,82.8,9.8,6.7,4.5,3.2,2.8,2.5,2.2,2.2,2.1,1.8,1,0.2
Raja Bell,82.0,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1
Travis Best,82.0,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,NA,NA
Guy Rodgers,80.9,6.2,4.8,4.3,4,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2
