Season,Team,Lg,Salary
1997-98,Cleveland Cavaliers,NBA,"$949,320"
1998-99,Cleveland Cavaliers,NBA,"$1,092,000"
1999-00,Cleveland Cavaliers,NBA,"$1,234,080"
2000-01,Cleveland Cavaliers,NBA,"$4,250,000"
2001-02,Memphis Grizzlies,NBA,"$4,500,000"
2002-03,Memphis Grizzlies,NBA,"$5,000,000"
2003-04,Washington Wizards,NBA,"$5,000,000"
2004-05,Charlotte Bobcats,NBA,"$932,546"
2005-06,Charlotte Bobcats,NBA,"$4,600,000"
2006-07,Charlotte Bobcats,NBA,"$4,400,000"
2007-08,Los Angeles Clippers,NBA,"$1,600,000"
2008-09,Utah Jazz,NBA,"$2,000,000"
Career,(may be incomplete),,"$35,557,946"
