Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Randy Livingston,,1.5,0.4,0.3,0.2,0.1,0.1,0,0,0,-0.1,-0.1
Jordan Hamilton,70.5,1.6,0.8,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA
Terence Stansbury,68.9,1.5,0.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA
Ray McCallum,65.5,1.4,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA
Eddie Gill,64.8,1.1,0.3,0.2,0.1,0.1,0.1,0,NA,NA,NA,NA
Gary Phillips,64.4,1.7,0.3,0.2,0.2,-0.1,NA,NA,NA,NA,NA,NA
Felipe López,63.1,1.9,0.5,0.4,0.3,NA,NA,NA,NA,NA,NA,NA
Vonteego Cummings,62.9,1.3,0.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA
Treveon Graham,59.1,1.8,0.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA
Bubbles Hawkins,58.1,1.9,0.6,0.3,0.1,NA,NA,NA,NA,NA,NA,NA
John Jenkins,56.9,1.7,0.9,0.2,0.2,0,-0.1,NA,NA,NA,NA,NA
