Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jared Dudley,,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,1.8,1.8,0.8
Rick Fox,91.3,5.3,5.2,5.1,5.1,4.3,3.6,3.2,3.2,2.8,2.3,2.1,1.8
Sam Mitchell,90.0,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2,0.6
Chuck Person,89.4,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3,2.1,1.2,0.9,0
Nick Collison,89.3,5.2,5,4.7,4.6,4.5,3.9,3.6,3.6,3.5,2.3,2.2,0.8
Larry Smith,88.9,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,1.2,0.3
Brandon Bass,87.9,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2.2,2,0.1,0
Junior Bridgeman,87.9,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6
Terry Tyler,87.5,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2,NA
John Salley,87.1,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,NA
Antoine Carr,87.0,5.5,5.4,4.3,4,3.8,3.5,3.3,2.2,2.1,2.1,1.2,0.7
