,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2007-08,22,CHA,NBA,PF,73,1384,,,17%,80%,4%,-2.2,+4.1,25,12,61,8,60,10,190,13,27
2008-09,23,TOT,NBA,SF,68,1155,,8%,65%,26%,1%,+0.7,+0.3,23,7,44,9,44,20,126,6,20
2008-09,23,CHA,NBA,SF,20,427,,,35%,63%,2%,-4.5,-3.5,4,2,19,3,13,9,44,2,8
2008-09,23,PHO,NBA,SF,48,728,,12%,83%,5%,,+3.5,+1.7,19,5,25,6,31,11,82,4,12
2009-10,24,PHO,NBA,SF,82,1991,1%,26%,71%,2%,,+6.3,+1.7,30,13,77,9,62,28,261,10,34
2010-11,25,PHO,NBA,SF,82,2140,,31%,61%,8%,,-0.4,+0.9,38,13,59,12,92,5,247,15,30
2011-12,26,PHO,NBA,SG,65,2020,,55%,45%,,,+2.0,+6.5,43,15,37,8,71,10,256,22,34
2012-13,27,PHO,NBA,SF,79,2170,,19%,77%,3%,,-3.5,+7.7,72,18,47,6,67,10,435,10,28
2013-14,28,LAC,NBA,SF,74,1729,,,90%,10%,,+5.9,-2.1,31,9,65,10,21,6,245,4,18
2014-15,29,MIL,NBA,SG,72,1717,,37%,54%,9%,,+3.4,+4.6,35,11,46,9,19,14,302,3,16
2015-16,30,WAS,NBA,PF,81,2098,,,1%,94%,5%,+1.3,+3.8,43,28,78,5,36,15,388,7,6
2016-17,31,PHO,NBA,PF,64,1362,,,9%,87%,5%,-2.5,+5.2,46,15,58,6,19,9,269,1,8
2017-18,32,PHO,NBA,PF,48,686,,,8%,88%,3%,-0.9,+10.6,20,2,28,1,8,6,182,2,5
2018-19,33,BRK,NBA,PF,59,1220,,,,84%,16%,+1.5,+2.4,30,3,52,8,20,19,203,4,11
2019-20,34,LAL,NBA,SF,40,311,,,16%,80%,4%,+3.0,-5.1,4,1,19,0,0,4,45,0,2
Career,,,NBA,,887,19983,,17%,45%,35%,2%,+1.2,+3.5,440,147,671,91,519,156,3149,97,239
,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,PHO,NBA,,468,11097,,25%,55%,19%,1%,+0.6,+4.6,268,81,331,48,350,79,1732,64,151
2 seasons,,CHA,NBA,,93,1811,,,21%,76%,3%,-2.8,+2.3,29,14,80,11,73,19,234,15,35
1 season,,WAS,NBA,,81,2098,,,1%,94%,5%,+1.3,+3.8,43,28,78,5,36,15,388,7,6
1 season,,LAC,NBA,,74,1729,,,90%,10%,,+5.9,-2.1,31,9,65,10,21,6,245,4,18
1 season,,MIL,NBA,,72,1717,,37%,54%,9%,,+3.4,+4.6,35,11,46,9,19,14,302,3,16
1 season,,BRK,NBA,,59,1220,,,,84%,16%,+1.5,+2.4,30,3,52,8,20,19,203,4,11
1 season,,LAL,NBA,,40,311,,,16%,80%,4%,+3.0,-5.1,4,1,19,0,0,4,45,0,2
