Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Roy Rogers,,1.4,0.4,-0.1,NA,NA
C.J. Kupec,81.3,1.5,0.5,-0.2,NA,NA
Perry Jones,81.1,1.5,0.2,0,NA,NA
Mario Bennett,81.0,1.5,0.5,0,-0.1,NA
Lou Tsioropoulos,80.1,1.4,0.7,0,NA,NA
Jeffery Taylor,76.0,1.2,0.3,-0.2,NA,NA
Red Morrison,73.0,1.7,0.5,0,NA,NA
Brian Evans,71.8,1.5,0.1,0.1,NA,NA
Stephen Howard,71.5,1.3,0.2,0.1,0,NA
Chris Singleton,71.3,1.5,0.5,0.2,NA,NA
Bob McCann,70.9,1.3,0.6,0.1,0.1,0
