Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Lew Hitch,,3.3,2.7,2.2,2.2,1.2,NA
Charles Jones,94.3,3.2,2.8,2.2,2.2,1.6,0
Al Tucker,92.1,3.5,2.3,2.3,2.1,1.1,NA
Mike Scott,90.2,3.2,2.7,2.6,2.5,0.9,-0.1
E.C. Coleman,90.0,3.2,2.7,2.6,2.5,1.7,0.1
Corky Calhoun,89.3,3.1,2.5,2.2,2.1,1.3,1
Tom Hawkins,89.3,3.2,2.9,2.3,2.1,1.2,1
Mike Muscala,89.2,3.4,2.5,2.4,1.9,1.6,0.2
Chuck Cooper,88.8,3.3,3.1,2.4,1.7,1.1,0
Kevin Restani,88.7,3.5,2.6,2.2,2,1.8,0.5
Sidney Green,87.8,3.4,2.7,2.5,2,0.6,0.3
