Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1951-52,22,MNL,NBA,PF,61,NA,849,77,215,0.358,63,94,0.67,243,50,89,217
1952-53,23,MNL,NBA,PF,70,NA,1027,89,255,0.349,83,136,0.61,275,66,122,261
1953-54,24,MLH,NBA,PF,72,NA,2452,221,603,0.367,133,208,0.639,691,141,176,575
1954-55,25,TOT,NBA,PF,74,NA,1774,167,417,0.4,115,169,0.68,438,125,110,449
1954-55,25,MLH,NBA,PF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,25,MNL,NBA,PF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-56,26,MNL,NBA,PF,69,NA,1129,94,235,0.4,100,132,0.758,283,77,85,288
1956-57,27,TOT,NBA,PF,68,NA,1133,111,296,0.375,63,88,0.716,253,40,103,285
1956-57,27,ROC,NBA,PF,30,NA,556,54,145,0.372,37,51,0.725,119,15,55,145
1956-57,27,PHW,NBA,PF,38,NA,577,57,151,0.377,26,37,0.703,134,25,48,140
Career,NA,,NBA,,414,NA,8364,759,2021,0.376,557,827,0.674,2183,499,685,2075
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,MNL,NBA,,200,NA,3005,260,705,0.369,246,362,0.68,801,193,296,766
2 seasons,NA,MLH,NBA,,72,NA,2452,221,603,0.367,133,208,0.639,691,141,176,575
1 season,NA,PHW,NBA,,38,NA,577,57,151,0.377,26,37,0.703,134,25,48,140
1 season,NA,ROC,NBA,,30,NA,556,54,145,0.372,37,51,0.725,119,15,55,145
