Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Lew Hitch,,3.3,2.7,2.2,2.2,1.2,NA,NA,NA
Al Tucker,92.1,3.5,2.3,2.3,2.1,1.1,NA,NA,NA
E.C. Coleman,90.0,3.2,2.7,2.6,2.5,1.7,0.1,NA,NA
Mike Muscala,89.2,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Chuck Cooper,88.8,3.3,3.1,2.4,1.7,1.1,0,NA,NA
James Ennis,87.5,3.1,3.1,2.6,1.9,0.9,NA,NA,NA
Don Ford,85.9,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA
Aaron James,85.6,4.3,2.9,2.2,2.1,1.7,NA,NA,NA
Mike Scott,85.3,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA
Scott Padgett,84.6,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
T.J. Warren,84.6,4.1,3.4,2.2,2.1,1.1,NA,NA,NA
