Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Andrew Toney,,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2
Ralph Simpson,91.2,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.2
Johnny Moore,89.2,7.2,6.6,5.8,3.8,3.2,2.1,1.2,-0.1
Eric Murdock,89.1,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3
Steve Kerr,88.4,8.3,6.1,5.9,3.2,2.4,1.3,0.6,0.4
Josh Childress,88.1,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0
Ronnie Brewer,88.0,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0
Raja Bell,87.4,6.8,5.8,4.5,3.7,2.2,1.7,1.1,-0.1
Bryant Stith,86.4,6.8,5.6,5.2,3,1.6,1.6,0.5,-0.3
Monta Ellis,86.1,9,6,4.6,4,2.6,1.3,0.5,0.2
Scott Skiles,85.8,8,7,4.4,3.2,2,1.3,0.3,-0.2
