Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Norm Nixon,,9.6,6.7,6.6,5.5,5.4,4.5,3.9,3.7,2,-0.4
Muggsy Bogues,90.6,8.6,6.7,6.4,5.9,5,4.8,4.8,2.6,2.3,0
Andy Phillip,89.4,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,NA
Goran Dragić,89.3,10.3,7.5,6.8,5.7,5.3,5.1,4.7,2.8,1,0.1
José Calderón,88.5,10.2,7.5,7.4,6.3,5.4,5.1,4.2,3.7,0.9,0.9
Ron Harper,88.4,10.2,6.3,6,5.6,4.2,3.9,3.5,2.9,2.4,0.9
Brian Taylor,88.2,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1
Dick Snyder,88.1,10,8,6.4,6.2,6.2,6,4.1,3.7,1.8,0.6
Reggie Theus,88.1,9.2,6.9,6.5,6.4,6.2,5.3,4.6,3.7,3.2,1.8
Sleepy Floyd,88.0,10,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,0.9
Michael Adams,87.8,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,-0.1
